Name,City,Area,Country,Year Established,Game List,Average Rating,Subsidiaries
0verflow,Tokyo,,Japan,1997,,NaN,
1-Up Studio,Tokyo,,Japan,2000,,NaN,
1C Company,Moscow,,Russia,1991,,NaN,
2K Games,Novato,California,US,2005,Borderlands 3,3,
2K Sports,Novato,California,US,2005,,NaN,
3D Realms,Garland,Texas,US,1987,,NaN,
3G Studios,Reno,Nevada,US,2006,,NaN,
5th Cell,Bellevue,Washington,US,2003,,NaN,
11 bit studios,Warsaw,,Poland,2010,,NaN,
42 Entertainment,Pasadena,California,US,1993,,NaN,
343 Industries,Redmond,Washington,US,2009,"Halo: Master Chief Collection,Halo Infinite",3.4,
Access Games,Osaka,,Japan,2002,,NaN,
ACE Team,Santiago de Chile,,Chile,2007,,NaN,
Active Gaming Media,Osaka,,Japan,2006,,NaN,
Activision,Santa Monica,California,US,1979,,NaN,
Akella,Moscow,,Russia,1995,,NaN,
Alfa System,Kumamoto City,,Japan,1988,,NaN,
Amazon Game Studios,Seattle,Washington,US,2012,,NaN,
"Amazon Game Studios, Orange County(formerly Double Helix Games)",Irvine,California,US,2007,,NaN,
Ancient,Hino,,Japan,1990,,NaN,
Anino,Manila,,Philippines,2001,,NaN,
Ankama Games,Roubaix,,France,2001,,NaN,
Arc System Works,Yokohama,,Japan,1988,,NaN,
Arcane Kids,Los Angeles,California,United States,2010,,NaN,
ArenaNet,Bellevue,Washington,US,2000,,NaN,
Arika,Tokyo,,Japan,1995,,NaN,
Arkane Studios,Lyon,,France,1999,,NaN,
"Art Co., Ltd",Tokyo,,Japan,1995,,NaN,
Artdink,Tsukishima,,Japan,1986,,NaN,
ArtePiazza,Tokyo,,Japan,1989,,NaN,
Artificial Studios,Gainesville,Florida,US,2001,,NaN,
Arzest,Yokohama,,Japan,2010,Pikmin 4,3.2,
Asobo Studio,Bordeaux,,France,2002,,NaN,
"Atari, SA",Paris,,France,1983,,NaN,
Atlus,Tokyo,,Japan,1986,"Persona 5 The Royal,Persona 5 Scramble: The Phantom Strikers,Shin Megami Tensei V",NaN,
Avalanche Studios,Stockholm,,Sweden,2003,,NaN,
Aventurine SA,Athens,,Greece,2002,,NaN,
Babaroga,Chicago,Illinois,US,2001,,NaN,
Backflip Studios,Boulder,Colorado,US,2009,,NaN,
Bandai,Tokyo,,Japan,1950,,NaN,
Bandai Namco Entertainment,Tokyo,,Japan,1955,,NaN,
Bandai Namco Studios,Tokyo,,Japan,2012,,NaN,
Banpresto,Tokyo,,Japan,1977,,NaN,
Bauhaus Entertainment,Tokyo,,Japan,2006,,NaN,
Beenox,Quebec City,Quebec,Canada,2000,,NaN,
Behaviour Interactive,Montreal,Quebec,Canada,1992,,NaN,
Bethesda Game Studios,Rockville,Maryland,US,2001,"The Elder Scrolls: Blades,The Elder Scrolls VI,Starfield",1.4,
Big Finish Games,Salt Lake City,Utah,United States,2007,,NaN,
Big Huge Games,Baltimore,Maryland,US,2000,,NaN,
BioWare,Edmonton,Alberta,Canada,1995,Dragon Age 4,1.6,
Black Forest Games,Offenburg,,Germany,2012,,NaN,
Black Wing Foundation,Dnipro,,Ukraine,2006,,NaN,
Blizzard Entertainment,Irvine,California,US,1991,"Diablo IV,Warcraft III: Reforged,Overwatch Sequel",2.94,
Blue Byte,Düsseldorf,,Germany,1988,,NaN,
Bluehole,Seongnam,,South Korea,2007,,NaN,
Blueside,Seoul,,South Korea,2003,,NaN,
Bohemia Interactive,Prague,,Czech Republic,1999,,NaN,
Boss Fight Entertainment,McKinney,Texas,US,2013,,NaN,
Brace Yourself Games,Vancouver,British Columbia,Canada,2013,Cadence of Hyrule,3.75,
BreakAway Games,Hunt Valley,Maryland,US,1998,,NaN,
Bugbear Entertainment,Helsinki,,Finland,2000,,NaN,
BumbleBear Games,Brooklyn,New York,US,2013,Killer Queen Black,2.75,
Bungie,Bellevue,Washington,US,1991,,NaN,
Camelot Software Planning,Tokyo,,Japan,1990,,NaN,
Campo Santo,Bellevue,Washington,US,2013,In the Valley of Gods,3,
Capcom,Osaka,,Japan,1979,,NaN,
Cauldron,Bratislava,,Slovakia,1996,,NaN,
Cave,Shinjuku,,Japan,1994,,NaN,
CCP Games,Reykjavík,,Iceland,1997,,NaN,
CD Projekt Red,Warsaw,,Poland,2002,Cyberpunk 2077,3.8,
Certain Affinity,Austin,Texas,US,2006,,NaN,
Chair Entertainment,Salt Lake City,Utah,US,2005,,NaN,
Clap Hanz,Yokohama,,Japan,1998,,NaN,
Climax Studios,Portsmouth,,England,1988,,NaN,
Codemasters,Southam,,England,1985,,NaN,
Coffee Stain Studios,Skövde,,Sweden,2010,,NaN,
Colossal Order,Tampere,,Finland,2009,,NaN,
Compile Heart,Tokyo,,Japan,2006,,NaN,
Compulsion Games,Montreal,Quebec,Canada,2009,,NaN,
Crafts & Meister,Osaka,,Japan,2004,,NaN,
Creat Studios,Canton,Massachusetts,US,1990,,NaN,
Creative Assembly,Horsham,,England,1987,,NaN,
Creatures,Tokyo,,Japan,1995,,NaN,
Criterion Games,Guildford,,England,1993,,NaN,
Croteam,Zagreb,,Croatia,1993,,NaN,
Cryptic Studios,Los Gatos,California,US,2000,,NaN,
Crystal Dynamics,Redwood City,California,US,1992,Marvel's Avengers,3.2,
Crytek,Frankfurt,,Germany,1999,,NaN,
Cyan Worlds,Mead,Washington,US,1987,,NaN,
Cyanide,Nanterre,,France,2000,,NaN,
CyberConnect2,Fukuoka,,Japan,1996,,NaN,
Cyberdreams,Liverpool,,England,2007,,NaN,
Cyberlore Studios(Blueline Simulations[6]),Northampton,Massachusetts,US,1992,,NaN,
CyberStep,Tokyo,,Japan,2000,,NaN,
Cygames,Tokyo,,Japan,2011,,NaN,
Dambuster Studios,Nottingham,,England,2014,,NaN,
Daybreak Game Company,San Diego,California,US,1997,,NaN,
Deck13,Frankfurt,,Germany,2001,The Surge 2,2,
Deep Silver Volition,Champaign,Illinois,USA,1996,,NaN,
Demiurge Studios,Cambridge,Massachusetts,US,2002,,NaN,
devCAT Studios(Nexon development 3rd division),Seoul,,South Korea,2001,,NaN,
Dhruva Interactive,Bangalore,,India,1997,,NaN,
DICE Los Angeles,Los Angeles,California,US,1995,,NaN,
Die Gute Fabrik,Copenhagen,,Denmark,2006,,NaN,
Digital Eclipse,Emeryville,California,US,1992,,NaN,
Digital Extremes,London,Ontario,Canada,1993,,NaN,
Dimps,Osaka,,Japan,2000,,NaN,
Dontnod Entertainment,Paris,,France,2008,,NaN,
Double Fine Productions,San Francisco,California,US,2000,Psychonauts 2,NaN,
Dovetail Games,Chatham,,England,2008,,NaN,
EA Digital Illusions CE(EA DICE),Stockholm,,Sweden,1992,,NaN,
EA Tiburon,,,,,Madden 20,NaN,
EA Vancouver,Vancouver,British Columbia,Canada,,FIFA 20,0,
Egosoft,Würselen,,Germany,1988,,NaN,
Eidos Montréal,Montreal,Alberta,Canada,2007,Marvel's Avengers,3.2,
Electronic Arts,Redwood City,California,US,1982,,NaN,"EA Digital Illusions CE(EA DICE),EA Tiburon,EA Vancouver,Maxis,The Sims Studio"
Engine Software,Doetinchem,,Netherlands,1995,,NaN,
Epic Games,Cary,North Carolina,US,1991,,NaN,
Eugen Systems,Paris,,France,2000,,NaN,
Experiment 101,Stockholm,,Sweden,2015,Biomutant,3,
Eyedentity Games,Seoul,,South Korea,2007,,NaN,
F4,Paris,,France,2002,,NaN,
Facepunch Studios,Walsall,,England,2009,,NaN,
FarSight Studios,Big Bear Lake,California,US,1989,,NaN,
Fatshark,Stockholm,,Sweden,2008,,NaN,
Firaxis Games,Sparks,Maryland,US,1996,,NaN,
Firefly Studios,London,,England,1999,,NaN,
Firesprite,Liverpool,,England,2012,,NaN,
First Star Software,Chappaqua,New York,US,1982,,NaN,
Flying Wild Hog,Warsaw,,Poland,2009,,NaN,
Fox Digital Entertainment,,,US,2002,,NaN,
FoxNext,,,US,2017,,NaN,
Frictional Games,Helsingborg,,Sweden,2001,,NaN,
Frogwares,Kiev,,Ukraine,2000,,NaN,
FromSoftware,Tokyo,,Japan,1986,Elden Ring,3,
Frontier Developments,Cambridge,,England,1994,,NaN,
Frozenbyte,Helsinki,,Finland,2001,,NaN,
