Game Title,System(s),Release Date,Matt's Hype,Ben's Hype,TJ's Hype,Bryce's Hype,Zubie's Hype,Genre,Developer,Video/Trailer,Cost,Notes/Description,At E3?,Date Added,Date Last Modified
3DS Dummy,3DS,,0,,,,,,,https://twitter.com/Wario64/status/1136399480180240385,,,,6/7/2019 10:44am,6/7/2019 11:50am
Age of Empires Definitive Edition,PC,,1,,,,2,RTS,,https://www.ageofempires.com/games/aoe/,,,,6/7/2019 1:10pm,6/9/2019 8:02am
Age of Empires II Definitive Edition,PC,,3,,,,4,RTS,,https://news.xbox.com/en-us/2019/05/30/microsoft-approach-to-pc-gaming/,,,,6/7/2019 11:03am,6/7/2019 2:54pm
Age of Empires III Definitive Edition,PC,,1,,,,2,RTS,,https://news.xbox.com/en-us/2019/05/30/microsoft-approach-to-pc-gaming/,,,,6/7/2019 11:03am,6/7/2019 2:54pm
Age of Empires IV,PC,,3,,,,,RTS,Relic Entertainment,https://www.youtube.com/watch?v=RYwZ6GZXWhA,,,,6/7/2019 12:53pm,6/9/2019 8:02am
Ancestors: The Humankind Odyssey,"PC,PS4,XB1",,3,,,,,Survival,Panache Digital Games,https://www.youtube.com/watch?v=4E1jVWUMQiA,,,,6/5/2019 11:13am,6/7/2019 10:26am
Animal Crossing New Horizons,Switch,3/20/2020,5,5,5,4,5,Simulation,Nintendo,,,,,6/4/2019 11:48am,6/11/2019 11:37am
Apex Legends: Season 2,"PC,PS4,XB1",7/2/2019,2,,,,,"Battle Royale,Shooter",Respawn Entertainment,,,,,6/9/2019 8:12am,6/10/2019 1:40pm
Astral Chains,Switch,8/30/2019,1,,,,,,,,,,,6/11/2019 11:29am,6/11/2019 8:54pm
Baldur's Gate 3,"PC,Stadia",,4,,,,,,Larian Studios,https://www.youtube.com/watch?v=OcP0WdH7rTs,,,,6/7/2019 10:42am,6/10/2019 3:51pm
Bayonetta 3 ,Switch,,1,2,2,1,5,Hack and Slash,PlatinumGames,https://www.youtube.com/watch?v=Ti-i40Ez6KY,,,,6/4/2019 9:53pm,6/5/2019 1:43pm
Beyond a Steel Sky,iOS,,0,,,,,,,https://www.youtube.com/watch?v=mg8Lk9Sinm8,,Part of Apple Arcade,,6/7/2019 1:21pm,6/9/2019 8:03am
Beyond Good and Evil 2,"PS4,XB1,PC",,1,3,1,0,2,Action-Adventure,Ubisoft,,,,,6/4/2019 9:53pm,6/5/2019 11:10am
Biomutant,"PC,PS4,XB1",,3,,,,,ARPG,Experiment 101,https://www.youtube.com/watch?v=73vSguCeJl0,,,,6/5/2019 10:58am,6/5/2019 11:00am
